YEAR,MONTH,DISTRICT_NAME,RAINFALL
2019,10,Gautam Buddha Nagar,0.2585780543665732
2019,11,Gautam Buddha Nagar,0.059590192635854085
2019,12,Gautam Buddha Nagar,1.2338138088103263
2019,1,Ghaziabad,0.9496298297759025
2019,2,Ghaziabad,0.7721216614757266
2019,3,Ghaziabad,0.14708364971222418
2019,4,Ghaziabad,0.027392030755678805
2019,5,Ghaziabad,0.3760526396574513
2019,6,Ghaziabad,0.12782504409551623
2019,7,Ghaziabad,5.192281107748708
2019,8,Ghaziabad,4.658388183962915
2019,9,Ghaziabad,1.5223629926641782
2019,10,Ghaziabad,0.23217621157246252
2019,11,Ghaziabad,0.42640361537535987
2019,12,Ghaziabad,0.6490572191053822
2019,1,Gurugram,1.0077325836304696
2019,2,Gurugram,0.6698511822947434
2019,3,Gurugram,0.26814678563706335
2019,4,Gurugram,0.44243124773104986
2019,5,Gurugram,0.8284075548571925
2019,6,Gurugram,0.17693937122821807
2019,7,Gurugram,4.813696510008266
2019,8,Gurugram,5.240444685903288
2019,9,Gurugram,1.2991174419720968
2019,10,Gurugram,0.6878189713724199
2019,11,Gurugram,0.06318378150463104
2019,12,Gurugram,0.780436532752168
2019,1,Hapur,0.6241613876435066
2019,2,Hapur,0.7361287128712449
2019,3,Hapur,0.09954599507393376
2019,4,Hapur,0.3607243537902832
2019,5,Hapur,0.1448155487737348
2019,6,Hapur,0.3696609179178873
2019,7,Hapur,6.54395293612634
2019,8,Hapur,3.9040008869863327
2019,9,Hapur,3.8538628364602725
2019,10,Hapur,0.0
2019,11,Hapur,0.28431440790494283
2019,12,Hapur,1.9047513777209866
2019,1,Jhajjar,0.34447931906869333
2019,2,Jhajjar,0.715036006378276
2019,3,Jhajjar,0.15222871888388867
2019,4,Jhajjar,0.3068306449386809
2019,5,Jhajjar,0.5268495108491631
2019,6,Jhajjar,0.2930824359258016
2019,7,Jhajjar,4.2342362367017286
2019,8,Jhajjar,2.0860640223148046
2019,9,Jhajjar,1.0707106817099783
2019,10,Jhajjar,0.27408268887509585
2019,11,Jhajjar,0.20928676691320208
2019,12,Jhajjar,0.5454665665985436
2019,1,Jind,0.4325251733103106
2019,2,Jind,0.5481099491672856
2019,3,Jind,0.18196217571535417
2019,4,Jind,0.230523831397295
